time,low,high,open,close,volume
2021-03-12 21:00:00,1446.96,1474.0,1456.92,1470.51,692.94937926
2021-03-12 22:00:00,1466.0,1476.88,1469.52,1470.24,523.99386763
2021-03-12 23:00:00,1469.19,1482.54,1470.57,1476.6,350.72531547
2021-03-13 00:00:00,1453.35,1477.23,1476.34,1465.29,291.95132999
2021-03-13 01:00:00,1446.01,1465.23,1464.72,1458.49,904.4092762
2021-03-13 02:00:00,1454.19,1466.04,1461.44,1464.25,265.24281414
2021-03-13 03:00:00,1460.94,1475.18,1465.87,1473.83,104.48381703
2021-03-13 04:00:00,1463.81,1482.98,1474.42,1482.98,138.02008492
2021-03-13 05:00:00,1479.36,1490.09,1483.0,1481.43,336.56866153
2021-03-13 06:00:00,1476.73,1485.62,1481.45,1481.71,178.35341082
2021-03-13 07:00:00,1478.42,1496.66,1482.0,1496.66,313.27719892
2021-03-13 08:00:00,1487.25,1502.7,1496.26,1492.15,981.85101825
2021-03-13 09:00:00,1488.3,1496.86,1492.67,1495.13,246.06697116
2021-03-13 10:00:00,1494.12,1543.76,1494.57,1543.3,4652.30210438
2021-03-13 11:00:00,1541.58,1568.36,1542.23,1553.1,3500.17519007
2021-03-13 12:00:00,1542.31,1573.0,1553.23,1560.13,2428.60735845
2021-03-13 13:00:00,1546.5,1567.9,1559.28,1563.04,1018.7011093
2021-03-13 14:00:00,1555.86,1568.98,1562.99,1556.5,834.61157817
2021-03-13 15:00:00,1543.1,1565.55,1556.51,1553.69,836.18689037
2021-03-13 16:00:00,1550.86,1564.99,1552.97,1558.79,614.62054821
2021-03-13 17:00:00,1557.08,1579.0,1557.08,1578.54,1254.04436785
2021-03-13 18:00:00,1564.3,1580.21,1577.85,1574.96,1538.93978192
2021-03-13 19:00:00,1565.83,1583.0,1574.4,1581.06,955.0907635
2021-03-13 20:00:00,1581.06,1595.0,1581.34,1586.21,2063.4927816
2021-03-13 21:00:00,1555.01,1588.6,1584.98,1564.99,1642.16845265
2021-03-13 22:00:00,1564.15,1575.36,1565.38,1571.21,793.79922305
2021-03-13 23:00:00,1571.21,1589.16,1572.0,1575.08,488.83563092
2021-03-14 00:00:00,1564.69,1580.62,1575.08,1568.81,457.60928566
2021-03-14 01:00:00,1555.8,1574.56,1567.45,1567.36,916.88750025
2021-03-14 02:00:00,1563.63,1572.61,1567.37,1568.42,227.29209256
2021-03-14 03:00:00,1560.89,1577.77,1568.43,1570.89,255.78719754
2021-03-14 04:00:00,1561.85,1570.53,1570.11,1566.3,204.13739575
2021-03-14 05:00:00,1558.0,1568.24,1566.23,1562.69,269.451847
2021-03-14 06:00:00,1549.07,1564.64,1560.89,1562.35,477.85317229
2021-03-14 07:00:00,1555.95,1567.35,1562.91,1556.57,803.73106161
2021-03-14 08:00:00,1552.68,1568.24,1555.99,1566.0,670.06092498
2021-03-14 09:00:00,1564.35,1578.63,1565.33,1575.47,568.03134003
2021-03-14 10:00:00,1547.04,1578.21,1575.2,1549.91,1256.006668
2021-03-14 11:00:00,1536.0,1557.97,1548.75,1557.97,1878.44251299
2021-03-14 12:00:00,1545.69,1562.05,1557.97,1553.55,760.68612786
2021-03-14 13:00:00,1541.08,1555.0,1553.91,1548.88,584.80339516
2021-03-14 14:00:00,1546.36,1560.0,1548.34,1550.78,521.17151494
2021-03-14 15:00:00,1537.0,1555.65,1550.78,1547.07,968.00126656
2021-03-14 16:00:00,1530.0,1548.65,1546.25,1535.88,910.22976091
2021-03-14 17:00:00,1530.0,1541.84,1535.74,1532.0,957.90681628
2021-03-14 18:00:00,1531.89,1559.99,1531.89,1554.61,559.20580651
2021-03-14 19:00:00,1547.17,1559.0,1555.0,1551.7,423.06475069
2021-03-14 20:00:00,1542.23,1554.37,1550.82,1551.63,384.75774247
2021-03-14 21:00:00,1545.87,1556.0,1551.62,1556.0,557.81535242
2021-03-14 22:00:00,1548.83,1575.0,1555.64,1570.94,651.52535508
2021-03-14 23:00:00,1546.12,1581.6,1571.58,1546.17,1002.37685853
2021-03-15 00:00:00,1540.0,1573.84,1546.81,1566.14,414.18699099
2021-03-15 01:00:00,1561.05,1579.14,1565.18,1574.33,286.31297669
2021-03-15 02:00:00,1572.56,1580.0,1574.33,1573.57,176.0624022
2021-03-15 03:00:00,1572.92,1579.84,1575.13,1575.0,80.3397511
2021-03-15 04:00:00,1552.85,1579.05,1576.43,1557.02,441.84503451
2021-03-15 05:00:00,1541.79,1559.29,1557.44,1541.79,309.22289459
